2018-04-08T18:12:47.538Z - info: Worker for api closed due to file changes.
2018-04-08T18:13:53.900Z - info: User function triggered, starting execution
2018-04-08T18:13:54.159Z - info: Execution took 1098 ms, finished with status: 'crash'
2018-04-08T18:14:13.769Z - info: User function triggered, starting execution
2018-04-08T18:14:13.954Z - info: Execution took 1024 ms, finished with status: 'crash'
2018-04-08T18:14:47.085Z - info: User function triggered, starting execution
2018-04-08T18:14:47.249Z - info: Execution took 979 ms, finished with status: 'crash'
2018-04-08T18:15:55.365Z - info: User function triggered, starting execution
2018-04-08T18:15:55.529Z - info: Execution took 979 ms, finished with status: 'crash'
2018-04-08T18:17:16.296Z - info: User function triggered, starting execution
2018-04-08T18:17:16.516Z - info: Execution took 1033 ms, finished with status: 'crash'
2018-04-08T18:17:59.363Z - info: User function triggered, starting execution
2018-04-08T18:17:59.571Z - info: Execution took 1022 ms, finished with status: 'crash'
2018-04-08T18:18:47.372Z - info: User function triggered, starting execution
2018-04-08T18:18:47.570Z - info: Execution took 199 ms, user function completed successfully
2018-04-08T18:18:47.608Z - info: Worker for api closed due to file changes.
2018-04-08T18:19:01.391Z - info: User function triggered, starting execution
2018-04-08T18:19:01.573Z - info: Execution took 184 ms, user function completed successfully
2018-04-08T18:21:11.268Z - info: User function triggered, starting execution
2018-04-08T18:21:11.468Z - info: Execution took 1020 ms, finished with status: 'crash'
2018-04-08T18:21:30.408Z - info: User function triggered, starting execution
2018-04-08T18:21:30.591Z - info: Execution took 817 ms, finished with status: 'crash'
2018-04-08T19:05:45.448Z - info: User function triggered, starting execution
2018-04-08T19:05:47.668Z - info: Execution took 8981 ms, finished with status: 'crash'
2018-04-08T19:06:51.360Z - info: User function triggered, starting execution
2018-04-08T19:06:51.506Z - info: Execution took 772 ms, finished with status: 'crash'
